date,country,code,Daily ICU occupancy,Daily ICU occupancy per million,Daily hospital occupancy,Daily hospital occupancy per million
2020-04-23,Poland,POL,,,3099.0,77.753
2020-04-24,Poland,POL,,,3095.0,77.652
2020-04-25,Poland,POL,,,2821.0,70.778
2020-04-26,Poland,POL,,,2749.0,68.971
2020-04-27,Poland,POL,,,2759.0,69.222
2020-04-28,Poland,POL,,,2934.0,73.613
2020-04-29,Poland,POL,,,2973.0,74.591
2020-04-30,Poland,POL,,,3012.0,75.57
2020-05-01,Poland,POL,,,2789.0,69.975
2020-05-02,Poland,POL,,,2649.0,66.462
2020-05-03,Poland,POL,,,2761.0,69.272
2020-05-04,Poland,POL,,,2653.0,66.563
2020-05-05,Poland,POL,,,2738.0,68.695
2020-05-06,Poland,POL,,,2760.0,69.247
2020-05-07,Poland,POL,,,2711.0,68.018
2020-05-08,Poland,POL,,,2758.0,69.197
2020-05-09,Poland,POL,,,2768.0,69.448
2020-05-10,Poland,POL,,,2658.0,66.688
2020-05-11,Poland,POL,,,2598.0,65.183
2020-05-12,Poland,POL,,,2571.0,64.505
2020-05-13,Poland,POL,,,2648.0,66.437
2020-05-14,Poland,POL,,,2538.0,63.677
2020-05-15,Poland,POL,,,2579.0,64.706
2020-05-16,Poland,POL,,,2407.0,60.391
2020-05-17,Poland,POL,,,2459.0,61.695
2020-05-18,Poland,POL,,,2544.0,63.828
2020-05-19,Poland,POL,,,2490.0,62.473
2020-05-20,Poland,POL,,,2414.0,60.566
2020-05-21,Poland,POL,,,2330.0,58.459
2020-05-22,Poland,POL,,,2261.0,56.728
2020-05-23,Poland,POL,,,2271.0,56.978
2020-05-24,Poland,POL,,,2242.0,56.251
2020-05-25,Poland,POL,,,2268.0,56.903
2020-05-26,Poland,POL,,,2171.0,54.47
2020-05-27,Poland,POL,,,2320.0,58.208
2020-05-28,Poland,POL,,,2248.0,56.401
2020-05-29,Poland,POL,,,2035.0,51.057
2020-05-30,Poland,POL,,,2207.0,55.373
2020-05-31,Poland,POL,,,2134.0,53.541
2020-06-01,Poland,POL,,,2181.0,54.72
2020-06-02,Poland,POL,,,2219.0,55.674
2020-06-03,Poland,POL,,,2150.0,53.943
2020-06-04,Poland,POL,,,2102.0,52.738
2020-06-05,Poland,POL,,,2085.0,52.312
2020-06-06,Poland,POL,,,2128.0,53.391
2020-06-07,Poland,POL,,,2007.0,50.355
2020-06-08,Poland,POL,,,1881.0,47.194
2020-06-09,Poland,POL,,,2039.0,51.158
2020-06-10,Poland,POL,,,1993.0,50.004
2020-06-12,Poland,POL,,,1629.0,40.871
2020-06-13,Poland,POL,,,1711.0,42.928
2020-06-14,Poland,POL,,,1748.0,43.857
2020-06-15,Poland,POL,,,1736.0,43.556
2020-06-16,Poland,POL,,,1806.0,45.312
2020-06-17,Poland,POL,,,1693.0,42.477
2020-06-18,Poland,POL,,,1849.0,46.391
2020-06-19,Poland,POL,,,1886.0,47.319
2020-06-20,Poland,POL,,,1931.0,48.448
2020-06-21,Poland,POL,,,1877.0,47.093
2020-06-22,Poland,POL,,,1899.0,47.645
2020-06-23,Poland,POL,,,1936.0,48.573
2020-06-24,Poland,POL,,,1965.0,49.301
2020-06-25,Poland,POL,,,1974.0,49.527
2020-06-26,Poland,POL,,,1933.0,48.498
2020-06-27,Poland,POL,,,1869.0,46.892
2020-06-28,Poland,POL,,,1845.0,46.29
2020-06-29,Poland,POL,,,1797.0,45.086
2020-06-30,Poland,POL,,,1811.0,45.437
2020-07-01,Poland,POL,,,1923.0,48.247
2020-07-02,Poland,POL,,,1787.0,44.835
2020-07-03,Poland,POL,,,1743.0,43.731
2020-07-04,Poland,POL,,,1731.0,43.43
2020-07-05,Poland,POL,,,1765.0,44.283
2020-07-06,Poland,POL,,,1790.0,44.91
2020-07-07,Poland,POL,,,1658.0,41.599
2020-07-08,Poland,POL,,,1683.0,42.226
2020-07-09,Poland,POL,,,1687.0,42.326
2020-07-10,Poland,POL,,,1597.0,40.068
2020-07-11,Poland,POL,,,1617.0,40.57
2020-07-12,Poland,POL,,,1610.0,40.394
2020-07-13,Poland,POL,,,1640.0,41.147
2020-07-14,Poland,POL,,,1581.0,39.667
2020-07-15,Poland,POL,,,1575.0,39.516
2020-07-16,Poland,POL,,,1550.0,38.889
2020-07-17,Poland,POL,,,1604.0,40.244
2020-07-18,Poland,POL,,,1551.0,38.914
2020-07-19,Poland,POL,,,1560.0,39.14
2020-07-20,Poland,POL,,,1575.0,39.516
2020-07-21,Poland,POL,,,1607.0,40.319
2020-07-22,Poland,POL,,,1644.0,41.247
2020-07-23,Poland,POL,,,1626.0,40.796
2020-07-24,Poland,POL,,,1617.0,40.57
2020-07-25,Poland,POL,,,1594.0,39.993
2020-07-26,Poland,POL,,,1601.0,40.168
2020-07-27,Poland,POL,,,1625.0,40.771
2020-07-28,Poland,POL,,,1655.0,41.523
2020-07-29,Poland,POL,,,1687.0,42.326
2020-07-30,Poland,POL,,,1694.0,42.502
2020-07-31,Poland,POL,,,1778.0,44.609
2020-08-01,Poland,POL,,,1841.0,46.19
2020-08-02,Poland,POL,,,1835.0,46.039
2020-08-03,Poland,POL,,,1841.0,46.19
2020-08-04,Poland,POL,,,1859.0,46.642
2020-08-05,Poland,POL,,,1898.0,47.62
2020-08-06,Poland,POL,,,1913.0,47.996
2020-08-07,Poland,POL,,,1928.0,48.373
2020-08-08,Poland,POL,,,1928.0,48.373
2020-08-09,Poland,POL,,,1930.0,48.423
2020-08-10,Poland,POL,,,1929.0,48.398
2020-08-11,Poland,POL,,,1985.0,49.803
2020-08-12,Poland,POL,,,2021.0,50.706
2020-08-13,Poland,POL,,,2059.0,51.659
2020-08-14,Poland,POL,,,2040.0,51.183
2020-08-15,Poland,POL,,,2028.0,50.882
2020-08-16,Poland,POL,,,2035.0,51.057
2020-08-17,Poland,POL,,,2040.0,51.183
2020-08-18,Poland,POL,,,2057.0,51.609
2020-08-19,Poland,POL,,,2097.0,52.613
2020-08-20,Poland,POL,,,2110.0,52.939
2020-08-21,Poland,POL,,,2151.0,53.968
2020-08-22,Poland,POL,,,2189.0,54.921
2020-08-23,Poland,POL,,,2195.0,55.072
2020-08-24,Poland,POL,,,2207.0,55.373
2020-08-25,Poland,POL,,,2167.0,54.369
2020-08-26,Poland,POL,,,2170.0,54.444
2020-08-27,Poland,POL,,,2185.0,54.821
2020-08-28,Poland,POL,,,2221.0,55.724
2020-08-29,Poland,POL,,,2237.0,56.125
2020-08-30,Poland,POL,,,2242.0,56.251
2020-08-31,Poland,POL,,,2249.0,56.427
2020-09-01,Poland,POL,,,2138.0,53.642
2020-09-02,Poland,POL,,,2168.0,54.394
2020-09-03,Poland,POL,,,2170.0,54.444
2020-09-04,Poland,POL,,,2179.0,54.67
2020-09-05,Poland,POL,,,2090.0,52.437
2020-09-06,Poland,POL,,,2091.0,52.462
2020-09-07,Poland,POL,,,2113.0,53.014
2020-09-08,Poland,POL,,,2042.0,51.233
2020-09-09,Poland,POL,,,2070.0,51.935
2020-09-10,Poland,POL,,,1924.0,48.272
2020-09-11,Poland,POL,,,1957.0,49.1
2020-09-12,Poland,POL,,,1946.0,48.824
2020-09-13,Poland,POL,,,1961.0,49.201
2020-09-14,Poland,POL,,,1972.0,49.477
2020-09-15,Poland,POL,,,1996.0,50.079
2020-09-16,Poland,POL,,,2007.0,50.355
2020-09-17,Poland,POL,,,1917.0,48.097
2020-09-18,Poland,POL,,,1925.0,48.297
2020-09-19,Poland,POL,,,1977.0,49.602
2020-09-20,Poland,POL,,,1985.0,49.803
2020-09-21,Poland,POL,,,1979.0,49.652
2020-09-23,Poland,POL,,,1971.0,49.452
2020-09-24,Poland,POL,,,1964.0,49.276
2020-09-25,Poland,POL,,,1995.0,50.054
2020-09-26,Poland,POL,,,2134.0,53.541
2020-09-27,Poland,POL,,,2223.0,55.774
2020-09-28,Poland,POL,,,2305.0,57.832
2020-09-29,Poland,POL,,,2399.0,60.19
2020-09-30,Poland,POL,,,2481.0,62.247
2020-10-01,Poland,POL,,,2560.0,64.229
2020-10-02,Poland,POL,,,2702.0,67.792
2020-10-03,Poland,POL,,,2850.0,71.505
2020-10-04,Poland,POL,,,2977.0,74.692
2020-10-05,Poland,POL,,,3158.0,79.233
2020-10-06,Poland,POL,,,3719.0,93.308
2020-10-07,Poland,POL,,,4000.0,100.358
2020-10-08,Poland,POL,,,4138.0,103.821
2020-10-09,Poland,POL,,,4407.0,110.57
2020-10-10,Poland,POL,,,4725.0,118.548
2020-10-11,Poland,POL,,,4924.0,123.541
2020-10-12,Poland,POL,,,5262.0,132.022
2020-10-13,Poland,POL,,,5669.0,142.233
2020-10-14,Poland,POL,,,6084.0,152.645
2020-10-15,Poland,POL,,,6538.0,164.036
2020-10-16,Poland,POL,,,6980.0,175.125
2020-10-18,Poland,POL,,,8076.0,202.624
2020-10-19,Poland,POL,,,8375.0,210.125
2020-10-20,Poland,POL,,,8962.0,224.853
2020-10-21,Poland,POL,,,9439.0,236.821
2020-10-22,Poland,POL,,,10091.0,253.179
2020-10-23,Poland,POL,,,10788.0,270.667
2020-10-24,Poland,POL,,,11496.0,288.43
2020-10-25,Poland,POL,,,11887.0,298.24
2020-10-26,Poland,POL,,,12282.0,308.151
2020-10-27,Poland,POL,,,13291.0,333.466
2020-10-28,Poland,POL,,,13931.0,349.523
2020-10-29,Poland,POL,,,14631.0,367.086
2020-10-30,Poland,POL,,,15444.0,387.484
2020-10-31,Poland,POL,,,16144.0,405.047
2020-11-01,Poland,POL,,,16427.0,412.147
2020-11-02,Poland,POL,,,17223.0,432.118
2020-11-03,Poland,POL,,,18160.0,455.627
2020-11-04,Poland,POL,,,18654.0,468.021
2020-11-05,Poland,POL,,,19114.0,479.563
2020-11-06,Poland,POL,,,19479.0,488.72
2020-11-07,Poland,POL,,,20249.0,508.039
2020-11-08,Poland,POL,,,20214.0,507.161
2020-11-09,Poland,POL,,,20967.0,526.054
2020-11-10,Poland,POL,,,21640.0,542.939
2020-11-11,Poland,POL,,,21521.0,539.953
2020-11-12,Poland,POL,,,21899.0,549.437
2020-11-13,Poland,POL,,,22298.0,559.448
2020-11-14,Poland,POL,,,22320.0,560.0
2020-11-15,Poland,POL,,,21988.0,551.67
2020-11-16,Poland,POL,,,22458.0,563.462
2020-11-17,Poland,POL,,,23033.0,577.889
2020-11-18,Poland,POL,,,22812.0,572.344
2020-11-19,Poland,POL,,,22536.0,565.419
2020-11-20,Poland,POL,,,22643.0,568.104
2020-11-21,Poland,POL,,,22478.0,563.964
2020-11-22,Poland,POL,,,22094.0,554.33
2020-11-23,Poland,POL,,,22234.0,557.842
2020-11-24,Poland,POL,,,22405.0,562.133
2020-11-25,Poland,POL,,,22119.0,554.957
2020-11-26,Poland,POL,,,21636.0,542.839
2020-11-27,Poland,POL,,,21691.0,544.219
2020-11-28,Poland,POL,,,21476.0,538.824
2020-11-29,Poland,POL,,,21059.0,528.362
2020-11-30,Poland,POL,,,21504.0,539.527
2020-12-01,Poland,POL,,,21351.0,535.688
2020-12-02,Poland,POL,,,20855.0,523.244
2020-12-03,Poland,POL,,,20477.0,513.76
2020-12-04,Poland,POL,,,20135.0,505.179
2020-12-05,Poland,POL,,,19895.0,499.158
2020-12-06,Poland,POL,,,19363.0,485.81
2020-12-07,Poland,POL,,,19917.0,499.71
2020-12-08,Poland,POL,,,19917.0,499.71
2020-12-09,Poland,POL,,,19459.0,488.219
2020-12-10,Poland,POL,,,19131.0,479.989
2020-12-11,Poland,POL,,,18941.0,475.222
2020-12-12,Poland,POL,,,18778.0,471.133
2020-12-13,Poland,POL,,,18533.0,464.986
2020-12-14,Poland,POL,,,18813.0,472.011
2020-12-15,Poland,POL,,,19210.0,481.971
2020-12-16,Poland,POL,,,18899.0,474.168
2020-12-17,Poland,POL,,,18707.0,469.351
2020-12-18,Poland,POL,,,18542.0,465.211
2020-12-19,Poland,POL,,,18342.0,460.194
2020-12-20,Poland,POL,,,18180.0,456.129
2020-12-21,Poland,POL,,,18376.0,461.047
2020-12-22,Poland,POL,,,18521.0,464.685
2020-12-23,Poland,POL,,,17794.0,446.444
2020-12-24,Poland,POL,,,17239.0,432.52
2020-12-25,Poland,POL,,,16735.0,419.875
2020-12-26,Poland,POL,,,16457.0,412.9
2020-12-27,Poland,POL,,,16686.0,418.645
2020-12-28,Poland,POL,,,17078.0,428.48
2020-12-29,Poland,POL,,,17299.0,434.025
2020-12-30,Poland,POL,,,17228.0,432.244
2020-12-31,Poland,POL,,,16970.0,425.771
2021-01-01,Poland,POL,,,16757.0,420.427
2021-01-02,Poland,POL,,,16601.0,416.513
2021-01-03,Poland,POL,,,16786.0,421.154
2021-01-04,Poland,POL,,,17130.0,429.785
2021-01-05,Poland,POL,,,17191.0,431.315
2021-01-06,Poland,POL,,,17057.0,427.953
2021-01-07,Poland,POL,,,16727.0,419.674
2021-01-11,Poland,POL,,,16681.0,418.52
2021-01-12,Poland,POL,,,16859.0,422.986
2021-01-13,Poland,POL,,,16553.0,415.308
2021-01-14,Poland,POL,,,16250.0,407.706
2021-01-15,Poland,POL,,,16083.0,403.516
2021-01-16,Poland,POL,,,15887.0,398.599
2021-01-17,Poland,POL,,,15588.0,391.097
2021-01-18,Poland,POL,,,15716.0,394.308
2021-01-19,Poland,POL,,,15667.0,393.079
2021-01-20,Poland,POL,,,15324.0,384.473
2021-01-21,Poland,POL,,,14928.0,374.538
2021-01-22,Poland,POL,,,14614.0,366.659
2021-01-23,Poland,POL,,,14528.0,364.502
2021-01-24,Poland,POL,,,14377.0,360.713
2021-01-25,Poland,POL,,,14544.0,364.903
2021-01-26,Poland,POL,,,14596.0,366.208
2021-01-27,Poland,POL,,,14120.0,354.265
2021-01-28,Poland,POL,,,13879.0,348.219
2021-01-29,Poland,POL,,,13726.0,344.38
2021-01-30,Poland,POL,,,13654.0,342.573
2021-01-31,Poland,POL,,,13339.0,334.67
2021-02-01,Poland,POL,,,13507.0,338.885
2021-02-02,Poland,POL,,,13512.0,339.011
2021-02-03,Poland,POL,,,13225.0,331.81
2021-02-04,Poland,POL,,,12945.0,324.785
2021-02-05,Poland,POL,,,12837.0,322.075
2021-02-06,Poland,POL,,,12743.0,319.717
2021-02-07,Poland,POL,,,12528.0,314.323
2021-02-08,Poland,POL,,,12559.0,315.1
2021-02-09,Poland,POL,,,12677.0,318.061
2021-02-10,Poland,POL,,,12472.0,312.918
2021-02-11,Poland,POL,,,12227.0,306.771
2021-02-12,Poland,POL,,,12215.0,306.47
2021-02-13,Poland,POL,,,12163.0,305.165
2021-02-14,Poland,POL,,,11962.0,300.122
2021-02-15,Poland,POL,,,12026.0,301.728
2021-02-16,Poland,POL,,,12318.0,309.054
2021-02-17,Poland,POL,,,12225.0,306.72
2021-02-18,Poland,POL,,,12188.0,305.792
2021-02-19,Poland,POL,,,12441.0,312.14
2021-02-20,Poland,POL,,,12517.0,314.047
2021-02-21,Poland,POL,,,12609.0,316.355
2021-02-22,Poland,POL,,,12868.0,322.853
2021-02-23,Poland,POL,,,13350.0,334.946
2021-02-24,Poland,POL,,,13477.0,338.133
2021-02-25,Poland,POL,,,13818.0,346.688
2021-02-26,Poland,POL,,,14058.0,352.71
2021-03-01,Poland,POL,,,14929.0,374.563
2021-03-02,Poland,POL,,,15400.0,386.38
2021-03-03,Poland,POL,,,15591.0,391.172
2021-03-04,Poland,POL,,,15992.0,401.233
2021-03-05,Poland,POL,,,16423.0,412.047
2021-03-06,Poland,POL,,,16725.0,419.624
2021-03-07,Poland,POL,,,16861.0,423.036
2021-03-08,Poland,POL,,,17337.0,434.978
2021-03-09,Poland,POL,,,18105.0,454.247
2021-03-10,Poland,POL,,,18378.0,461.097
2021-03-11,Poland,POL,,,18686.0,468.824
2021-03-12,Poland,POL,,,19102.0,479.262
2021-03-13,Poland,POL,,,19541.0,490.276
2021-03-14,Poland,POL,,,19654.0,493.111
2021-03-15,Poland,POL,,,20249.0,508.039
2021-03-16,Poland,POL,,,21183.0,531.473
2021-03-17,Poland,POL,,,21511.0,539.702
2021-03-18,Poland,POL,,,21858.0,548.409
2021-03-19,Poland,POL,,,22567.0,566.197
2021-03-20,Poland,POL,,,23293.0,584.412
2021-03-21,Poland,POL,,,23583.0,591.688
2021-03-22,Poland,POL,,,24637.0,618.133
2021-03-23,Poland,POL,,,26075.0,654.211
2021-03-24,Poland,POL,,,26511.0,665.151
2021-03-25,Poland,POL,,,27118.0,680.38
2021-03-26,Poland,POL,,,27779.0,696.964
2021-03-27,Poland,POL,,,28574.0,716.91
2021-03-28,Poland,POL,,,29071.0,729.38
2021-03-29,Poland,POL,,,29920.0,750.681
2021-03-30,Poland,POL,,,31071.0,779.559
2021-03-31,Poland,POL,,,31311.0,785.581
2021-04-01,Poland,POL,,,31811.0,798.125
2021-04-02,Poland,POL,,,31955.0,801.738
2021-04-03,Poland,POL,,,32260.0,809.391
2021-04-04,Poland,POL,,,31927.0,801.036
2021-04-05,Poland,POL,,,32656.0,819.326
2021-04-06,Poland,POL,,,33544.0,841.606
2021-04-07,Poland,POL,,,34691.0,870.383
2021-04-08,Poland,POL,,,34864.0,874.724
2021-04-09,Poland,POL,,,34550.0,866.846
2021-04-10,Poland,POL,,,34167.0,857.237
2021-04-11,Poland,POL,,,33460.0,839.498
2021-04-12,Poland,POL,,,33990.0,852.796
2021-04-13,Poland,POL,,,34619.0,868.577
2021-04-14,Poland,POL,,,33906.0,850.688
2021-04-15,Poland,POL,,,33253.0,834.305
2021-04-16,Poland,POL,,,32781.0,822.462
2021-04-17,Poland,POL,,,32073.0,804.699
2021-04-18,Poland,POL,,,31270.0,784.552
2021-04-19,Poland,POL,,,31612.0,793.133
2021-04-20,Poland,POL,,,31938.0,801.312
2021-04-21,Poland,POL,,,30706.0,770.401
2021-04-22,Poland,POL,,,29831.0,748.448
2021-04-23,Poland,POL,,,28994.0,727.448
2021-04-24,Poland,POL,,,28128.0,705.72
2021-04-25,Poland,POL,,,27336.0,685.849
2021-04-26,Poland,POL,,,27137.0,680.857
2021-04-27,Poland,POL,,,26925.0,675.538
2021-04-28,Poland,POL,,,25591.0,642.068
2021-04-29,Poland,POL,,,24667.0,618.885
2021-04-30,Poland,POL,,,23469.0,588.828
2021-05-01,Poland,POL,,,22415.0,562.383
2021-05-02,Poland,POL,,,21209.0,532.125
2021-05-03,Poland,POL,,,20974.0,526.229
2021-05-04,Poland,POL,,,20981.0,526.405
2021-05-05,Poland,POL,,,20410.0,512.079
2021-05-06,Poland,POL,,,19433.0,487.566
2021-05-07,Poland,POL,,,18116.0,454.523
2021-05-08,Poland,POL,,,17155.0,430.412
2021-05-09,Poland,POL,,,16156.0,405.348
2021-05-10,Poland,POL,,,15925.0,399.552
2021-05-11,Poland,POL,,,15602.0,391.448
2021-05-12,Poland,POL,,,14359.0,360.262
2021-05-13,Poland,POL,,,13497.0,338.634
2021-05-14,Poland,POL,,,12984.0,325.763
2021-05-15,Poland,POL,,,12421.0,311.638
2021-05-16,Poland,POL,,,11710.0,293.799
2021-05-17,Poland,POL,,,11604.0,291.14
2021-05-18,Poland,POL,,,11145.0,279.624
2021-05-19,Poland,POL,,,10334.0,259.276
2021-05-20,Poland,POL,,,9713.0,243.695
2021-05-21,Poland,POL,,,9200.0,230.824
2021-05-22,Poland,POL,,,8596.0,215.67
2021-05-23,Poland,POL,,,7943.0,199.287
2021-05-24,Poland,POL,,,7965.0,199.839
2021-05-25,Poland,POL,,,7553.0,189.502
2021-05-26,Poland,POL,,,6295.0,157.939
2021-05-27,Poland,POL,,,6377.0,159.996
2021-05-28,Poland,POL,,,5909.0,148.254
2021-05-29,Poland,POL,,,5445.0,136.613
2021-05-30,Poland,POL,,,5125.0,128.584
2021-05-31,Poland,POL,,,5071.0,127.229
2021-06-01,Poland,POL,,,4697.0,117.846
2021-06-02,Poland,POL,,,3984.0,99.957
2021-06-03,Poland,POL,,,3734.0,93.685
2021-06-04,Poland,POL,,,3581.0,89.846
2021-06-05,Poland,POL,,,3484.0,87.412
2021-06-06,Poland,POL,,,3299.0,82.771
2021-06-07,Poland,POL,,,3183.0,79.86
2021-06-08,Poland,POL,,,2983.0,74.842
2021-06-09,Poland,POL,,,2742.0,68.796
2021-06-10,Poland,POL,,,2553.0,64.054
2021-06-11,Poland,POL,,,2359.0,59.186
2021-06-12,Poland,POL,,,2135.0,53.566
2021-06-13,Poland,POL,,,1989.0,49.903
2021-06-14,Poland,POL,,,1982.0,49.728
2021-06-15,Poland,POL,,,1962.0,49.226
2021-06-16,Poland,POL,,,1783.0,44.735
2021-06-17,Poland,POL,,,1671.0,41.925
2021-06-18,Poland,POL,,,1634.0,40.996
2021-06-19,Poland,POL,,,1534.0,38.487
2021-06-20,Poland,POL,,,1451.0,36.405
2021-06-21,Poland,POL,,,1460.0,36.631
2021-06-22,Poland,POL,,,1367.0,34.297
2021-06-23,Poland,POL,,,1307.0,32.792
2021-06-24,Poland,POL,,,1219.0,30.584
2021-06-25,Poland,POL,,,1157.0,29.029
2021-06-26,Poland,POL,,,1082.0,27.147
2021-06-27,Poland,POL,,,1050.0,26.344
2021-06-28,Poland,POL,,,1020.0,25.591
2021-06-29,Poland,POL,,,985.0,24.713
2021-06-30,Poland,POL,,,924.0,23.183
2021-07-01,Poland,POL,,,855.0,21.452
2021-07-02,Poland,POL,,,690.0,17.312
2021-07-03,Poland,POL,,,616.0,15.455
2021-07-04,Poland,POL,,,571.0,14.326
2021-07-05,Poland,POL,,,566.0,14.201
2021-07-06,Poland,POL,,,546.0,13.699
2021-07-07,Poland,POL,,,504.0,12.645
2021-07-08,Poland,POL,,,476.0,11.943
2021-07-09,Poland,POL,,,463.0,11.616
2021-07-10,Poland,POL,,,450.0,11.29
2021-07-11,Poland,POL,,,426.0,10.688
2021-07-12,Poland,POL,,,411.0,10.312
2021-07-13,Poland,POL,,,400.0,10.036
2021-07-14,Poland,POL,,,392.0,9.835
2021-07-15,Poland,POL,,,388.0,9.735
2021-07-16,Poland,POL,,,362.0,9.082
2021-07-17,Poland,POL,,,348.0,8.731
2021-07-18,Poland,POL,,,342.0,8.581
2021-07-19,Poland,POL,,,342.0,8.581
2021-07-20,Poland,POL,,,349.0,8.756
2021-07-21,Poland,POL,,,339.0,8.505
2021-07-22,Poland,POL,,,329.0,8.254
2021-07-23,Poland,POL,,,324.0,8.129
2021-07-24,Poland,POL,,,325.0,8.154
2021-07-25,Poland,POL,,,304.0,7.627
2021-07-26,Poland,POL,,,305.0,7.652
2021-07-27,Poland,POL,,,309.0,7.753
2021-07-28,Poland,POL,,,308.0,7.728
2021-07-29,Poland,POL,,,302.0,7.577
2021-07-30,Poland,POL,,,295.0,7.401
2021-07-31,Poland,POL,,,278.0,6.975
2021-08-01,Poland,POL,,,277.0,6.95
2021-08-02,Poland,POL,,,271.0,6.799
2021-08-03,Poland,POL,,,295.0,7.401
2021-08-04,Poland,POL,,,292.0,7.326
2021-08-05,Poland,POL,,,298.0,7.477
2021-08-06,Poland,POL,,,296.0,7.427
2021-08-07,Poland,POL,,,307.0,7.703
2021-08-08,Poland,POL,,,310.0,7.778
2021-08-09,Poland,POL,,,313.0,7.853
2021-08-10,Poland,POL,,,307.0,7.703
2021-08-11,Poland,POL,,,300.0,7.527
2021-08-12,Poland,POL,,,313.0,7.853
2021-08-13,Poland,POL,,,309.0,7.753
2021-08-14,Poland,POL,,,315.0,7.903
2021-08-15,Poland,POL,,,317.0,7.953
2021-08-16,Poland,POL,,,317.0,7.953
2021-08-17,Poland,POL,,,335.0,8.405
2021-08-18,Poland,POL,,,344.0,8.631
2021-08-19,Poland,POL,,,353.0,8.857
2021-08-20,Poland,POL,,,359.0,9.007
2021-08-21,Poland,POL,,,359.0,9.007
2021-08-22,Poland,POL,,,340.0,8.53
2021-08-23,Poland,POL,,,356.0,8.932
2021-08-24,Poland,POL,,,385.0,9.659
2021-08-25,Poland,POL,,,374.0,9.384
2021-08-26,Poland,POL,,,371.0,9.308
2021-08-27,Poland,POL,,,388.0,9.735
2021-08-28,Poland,POL,,,406.0,10.186
2021-08-29,Poland,POL,,,403.0,10.111
2021-08-30,Poland,POL,,,429.0,10.763
2021-08-31,Poland,POL,,,465.0,11.667
2021-09-01,Poland,POL,,,475.0,11.918
2021-09-02,Poland,POL,,,478.0,11.993
2021-09-03,Poland,POL,,,490.0,12.294
2021-09-04,Poland,POL,,,498.0,12.495
2021-09-05,Poland,POL,,,500.0,12.545
2021-09-06,Poland,POL,,,529.0,13.272
2021-09-07,Poland,POL,,,570.0,14.301
2021-09-08,Poland,POL,,,588.0,14.753
2021-09-09,Poland,POL,,,594.0,14.903
2021-09-10,Poland,POL,,,623.0,15.631
2021-09-11,Poland,POL,,,666.0,16.71
2021-09-12,Poland,POL,,,675.0,16.935
2021-09-13,Poland,POL,,,704.0,17.663
2021-09-14,Poland,POL,,,782.0,19.62
2021-09-15,Poland,POL,,,823.0,20.649
2021-09-16,Poland,POL,,,881.0,22.104
2021-09-17,Poland,POL,,,911.0,22.857
2021-09-18,Poland,POL,,,980.0,24.588
2021-09-19,Poland,POL,,,1020.0,25.591
2021-09-20,Poland,POL,,,1070.0,26.846
2021-09-21,Poland,POL,,,1142.0,28.652
2021-09-22,Poland,POL,,,1179.0,29.581
2021-09-23,Poland,POL,,,1209.0,30.333
2021-09-24,Poland,POL,,,1258.0,31.563
2021-09-25,Poland,POL,,,1312.0,32.918
2021-09-26,Poland,POL,,,1343.0,33.695
2021-09-27,Poland,POL,,,1384.0,34.724
2021-09-28,Poland,POL,,,1529.0,38.362
2021-09-29,Poland,POL,,,1566.0,39.29
2021-09-30,Poland,POL,,,1614.0,40.495
2021-10-01,Poland,POL,,,1687.0,42.326
2021-10-02,Poland,POL,,,1673.0,41.975
2021-10-03,Poland,POL,,,1718.0,43.104
2021-10-04,Poland,POL,,,1840.0,46.165
2021-10-05,Poland,POL,,,1963.0,49.251
2021-10-06,Poland,POL,,,2013.0,50.505
2021-10-07,Poland,POL,,,2103.0,52.763
2021-10-08,Poland,POL,,,2141.0,53.717
2021-10-09,Poland,POL,,,2273.0,57.029
2021-10-10,Poland,POL,,,2327.0,58.384
2021-10-11,Poland,POL,,,2423.0,60.792
2021-10-12,Poland,POL,,,2615.0,65.609
2021-10-13,Poland,POL,,,2722.0,68.294
2021-10-14,Poland,POL,,,2796.0,70.151
2021-10-15,Poland,POL,,,2877.0,72.183
2021-10-16,Poland,POL,,,3012.0,75.57
2021-10-17,Poland,POL,,,3077.0,77.201
2021-10-18,Poland,POL,,,3264.0,81.892
2021-10-19,Poland,POL,,,3592.0,90.122
2021-10-20,Poland,POL,,,3811.0,95.616
2021-10-21,Poland,POL,,,4034.0,101.211
2021-10-22,Poland,POL,,,4264.0,106.982
2021-10-23,Poland,POL,,,4559.0,114.384
2021-10-24,Poland,POL,,,4706.0,118.072
2021-10-25,Poland,POL,,,5042.0,126.502
2021-10-26,Poland,POL,,,5416.0,135.885
2021-10-27,Poland,POL,,,5601.0,140.527
2021-10-28,Poland,POL,,,5863.0,147.1
2021-10-29,Poland,POL,,,6175.0,154.928
2021-10-30,Poland,POL,,,6603.0,165.667
2021-10-31,Poland,POL,,,6866.0,172.265
2021-11-01,Poland,POL,,,7204.0,180.746
2021-11-02,Poland,POL,,,7550.0,189.427
2021-11-03,Poland,POL,,,8257.0,207.165
2021-11-04,Poland,POL,,,8595.0,215.645
2021-11-05,Poland,POL,,,8897.0,223.222
2021-11-06,Poland,POL,,,9473.0,237.674
2021-11-07,Poland,POL,,,9788.0,245.577
2021-11-08,Poland,POL,,,10221.0,256.441
2021-11-09,Poland,POL,,,11010.0,276.237
2021-11-10,Poland,POL,,,11588.0,290.738
2021-11-11,Poland,POL,,,12030.0,301.828
2021-11-12,Poland,POL,,,12419.0,311.588
